REGION,PREFECTURE,COMMUNE,CANTON,LOCALITE,parent_id,division_id,division_slug
Maritime,,,,,,RG-G6CIUI,maritime
Plateaux,,,,,,RG-TCNZ6E,plateaux
Kara,,,,,,RG-XQJ3HX,kara
Centrale,,,,,,RG-ZWGIPY,centrale
Savanes,,,,,,RG-D7WMRY,savanes
Maritime,Agoe-Nyivé,,,,RG-G6CIUI,PR-5F4PAD,maritime.agoe-nyive
Plateaux,Agou,,,,RG-TCNZ6E,PR-GYNGIW,plateaux.agou
Plateaux,Akebou,,,,RG-TCNZ6E,PR-5MJ3LQ,plateaux.akebou
Plateaux,Amou,,,,RG-TCNZ6E,PR-M3P4FP,plateaux.amou
Plateaux,Anié,,,,RG-TCNZ6E,PR-DVYRZD,plateaux.anie
Kara,Assoli,,,,RG-XQJ3HX,PR-CSX262,kara.assoli
Maritime,Avé,,,,RG-G6CIUI,PR-4MEDX6,maritime.ave
Maritime,Bas-Mono,,,,RG-G6CIUI,PR-E5XYGO,maritime.bas-mono
Kara,Bassar,,,,RG-XQJ3HX,PR-R5UDMC,kara.bassar
Kara,Binah,,,,RG-XQJ3HX,PR-2BQRGY,kara.binah
Centrale,Blitta,,,,RG-ZWGIPY,PR-ENJSZZ,centrale.blitta
Savanes,Cinkassé,,,,RG-D7WMRY,PR-AHGQER,savanes.cinkasse
Kara,Dankpen,,,,RG-XQJ3HX,PR-D6C3P6,kara.dankpen
Savanes,Kpendjal,,,,RG-D7WMRY,PR-E7KCBT,savanes.kpendjal
Savanes,Kpendjal Ouest,,,,RG-D7WMRY,PR-UJMRWR,savanes.kpendjal-ouest
Maritime,Lacs,,,,RG-G6CIUI,PR-WSAT5R,maritime.lacs
Centrale,Mo,,,,RG-ZWGIPY,PR-LMTKIT,centrale.mo
Plateaux,Moyen-Mono,,,,RG-TCNZ6E,PR-3S65LJ,plateaux.moyen-mono
Plateaux,Ogou,,,,RG-TCNZ6E,PR-J56DNG,plateaux.ogou
Savanes,Oti,,,,RG-D7WMRY,PR-TL4VWU,savanes.oti
Maritime,Agoe-Nyivé,Agoe-Nyivé 2,,,PR-5F4PAD,CM-3DUSYO,maritime.agoe-nyive.agoe-nyive-2
Maritime,Agoe-Nyivé,Agoe-Nyivé 3,,,PR-5F4PAD,CM-3P7SHY,maritime.agoe-nyive.agoe-nyive-3
Maritime,Agoe-Nyivé,Agoe-Nyivé 5,,,PR-5F4PAD,CM-3C4KIT,maritime.agoe-nyive.agoe-nyive-5
Plateaux,Agou,Agou 1,,,PR-GYNGIW,CM-N22ED3,plateaux.agou.agou-1
Plateaux,Agou,Agou 2,,,PR-GYNGIW,CM-7N5O3D,plateaux.agou.agou-2
Plateaux,Akebou,Akebou 1,,,PR-5MJ3LQ,CM-RMDGSO,plateaux.akebou.akebou-1
Plateaux,Akebou,Akebou 2,,,PR-5MJ3LQ,CM-OIRSL3,plateaux.akebou.akebou-2
Plateaux,Amou,Amou 1,,,PR-M3P4FP,CM-PLIW4Y,plateaux.amou.amou-1
Plateaux,Amou,Amou 2,,,PR-M3P4FP,CM-ZMHJV6,plateaux.amou.amou-2
Plateaux,Amou,Amou 3,,,PR-M3P4FP,CM-C64EX5,plateaux.amou.amou-3
Plateaux,Anié,Anié 1,,,PR-DVYRZD,CM-R6ILVK,plateaux.anie.anie-1
Plateaux,Anié,Anié 2,,,PR-DVYRZD,CM-JGSM2E,plateaux.anie.anie-2
Kara,Assoli,Assoli 1,,,PR-CSX262,CM-HOGLWN,kara.assoli.assoli-1
Kara,Assoli,Assoli 2,,,PR-CSX262,CM-AREXOD,kara.assoli.assoli-2
Kara,Assoli,Assoli 3,,,PR-CSX262,CM-QQQFFP,kara.assoli.assoli-3
Maritime,Avé,Avé 1,,,PR-4MEDX6,CM-T5XFJK,maritime.ave.ave-1
Maritime,Avé,Avé 2,,,PR-4MEDX6,CM-2RLKG6,maritime.ave.ave-2
Maritime,Bas-Mono,Bas-Mono 1,,,PR-E5XYGO,CM-WMN42U,maritime.bas-mono.bas-mono-1
Maritime,Bas-Mono,Bas-Mono 2,,,PR-E5XYGO,CM-6RWKHG,maritime.bas-mono.bas-mono-2
Kara,Bassar,Bassar 1,,,PR-R5UDMC,CM-BWEEDU,kara.bassar.bassar-1
Kara,Bassar,Bassar 2,,,PR-R5UDMC,CM-7OPYTQ,kara.bassar.bassar-2
Kara,Bassar,Bassar 3,,,PR-R5UDMC,CM-HKMYJ4,kara.bassar.bassar-3
Kara,Bassar,Bassar 4,,,PR-R5UDMC,CM-LVXNVA,kara.bassar.bassar-4
Kara,Binah,Binah 1,,,PR-2BQRGY,CM-CJS5M6,kara.binah.binah-1
Kara,Binah,Binah 2,,,PR-2BQRGY,CM-K3MA6D,kara.binah.binah-2
Centrale,Blitta,Blitta 1,,,PR-ENJSZZ,CM-7A47RU,centrale.blitta.blitta-1
Maritime,Golfe,Golfe 4,,,PR-D2R6RC,CM-3ARXBY,maritime.golfe.golfe-4
Maritime,Golfe,Golfe 5,,,PR-D2R6RC,CM-S2IPUE,maritime.golfe.golfe-5
Maritime,Golfe,Golfe 6,,,PR-D2R6RC,CM-D3ZYY5,maritime.golfe.golfe-6
Maritime,Golfe,Golfe 7,,,PR-D2R6RC,CM-NCAHS2,maritime.golfe.golfe-7
Plateaux,Haho,Haho 1,,,PR-UE4JX5,CM-Z3O2II,plateaux.haho.haho-1
Plateaux,Haho,Haho 2,,,PR-UE4JX5,CM-CFPPCC,plateaux.haho.haho-2
Plateaux,Haho,Haho 3,,,PR-UE4JX5,CM-YY7HXF,plateaux.haho.haho-3
Plateaux,Haho,Haho 4,,,PR-UE4JX5,CM-ILIFPU,plateaux.haho.haho-4
Kara,Keran,Kéran 1,,,PR-FLPKOC,CM-OYNVBJ,kara.keran.keran-1
Savanes,Kpendjal,Kpendjal 1,,,PR-E7KCBT,CM-ELD7HT,savanes.kpendjal.kpendjal-1
Savanes,Kpendjal,Kpendjal 2,,,PR-E7KCBT,CM-H7PNI7,savanes.kpendjal.kpendjal-2
Savanes,Kpendjal Ouest,Kpendjal Ouest 1,,,PR-UJMRWR,CM-RFBSHJ,savanes.kpendjal-ouest.kpendjal-ouest-1
Savanes,Kpendjal Ouest,Kpendjal Ouest 2,,,PR-UJMRWR,CM-VRKBFF,savanes.kpendjal-ouest.kpendjal-ouest-2
Maritime,Lacs,Lacs 1,,,PR-WSAT5R,CM-2VLYG4,maritime.lacs.lacs-1
Maritime,Lacs,Lacs 2,,,PR-WSAT5R,CM-5NPZ5W,maritime.lacs.lacs-2
Maritime,Lacs,Lacs 3,,,PR-WSAT5R,CM-6G7CM5,maritime.lacs.lacs-3
Maritime,Lacs,Lacs 4,,,PR-WSAT5R,CM-IRTSQW,maritime.lacs.lacs-4
Centrale,Mo,Mo 1,,,PR-LMTKIT,CM-AP2LJI,centrale.mo.mo-1
Centrale,Mo,Mo 2,,,PR-LMTKIT,CM-GOXN6Q,centrale.mo.mo-2
Plateaux,Moyen-Mono,Moyen-Mono 1,,,PR-3S65LJ,CM-Q5NP2H,plateaux.moyen-mono.moyen-mono-1
Plateaux,Moyen-Mono,Moyen-Mono 2,,,PR-3S65LJ,CM-27SNAQ,plateaux.moyen-mono.moyen-mono-2
Plateaux,Ogou,Ogou 1,,,PR-J56DNG,CM-LSKHDM,plateaux.ogou.ogou-1
Plateaux,Ogou,Ogou 2,,,PR-J56DNG,CM-R44VWB,plateaux.ogou.ogou-2
Plateaux,Ogou,Ogou 3,,,PR-J56DNG,CM-EJKSM2,plateaux.ogou.ogou-3
Plateaux,Ogou,Ogou 4,,,PR-J56DNG,CM-PST5N2,plateaux.ogou.ogou-4
Savanes,Oti,Oti 1,,,PR-TL4VWU,CM-PD3HBY,savanes.oti.oti-1
Savanes,Oti,Oti 2,,,PR-TL4VWU,CM-GUX6RX,savanes.oti.oti-2
Savanes,Oti Sud,Oti Sud 1,,,PR-3NLYBV,CM-JFBB3E,savanes.oti-sud.oti-sud-1
Savanes,Oti Sud,Oti Sud 2,,,PR-3NLYBV,CM-ZBWTXH,savanes.oti-sud.oti-sud-2
Centrale,Sotouboua,Sotouboua 1,,,PR-THBIQJ,CM-YBUFMO,centrale.sotouboua.sotouboua-1
Centrale,Sotouboua,Sotouboua 2,,,PR-THBIQJ,CM-Y42OL6,centrale.sotouboua.sotouboua-2
Centrale,Sotouboua,Sotouboua 3,,,PR-THBIQJ,CM-DC7DNS,centrale.sotouboua.sotouboua-3
Savanes,Tandjoare,Tandjoare 1,,,PR-HYTJ5X,CM-FXLK7W,savanes.tandjoare.tandjoare-1
Savanes,Tandjoare,Tandjoare 2,,,PR-HYTJ5X,CM-ZVDEHI,savanes.tandjoare.tandjoare-2
Maritime,Yoto,Yoto 1,,,PR-WTNQLK,CM-ZUAEI7,maritime.yoto.yoto-1
Maritime,Yoto,Yoto 2,,,PR-WTNQLK,CM-2QXIC3,maritime.yoto.yoto-2
Maritime,Yoto,Yoto 3,,,PR-WTNQLK,CM-IPPY3P,maritime.yoto.yoto-3
Maritime,Zio,Zio 1,,,PR-NCIG2Z,CM-AXRGOA,maritime.zio.zio-1
Maritime,Zio,Zio 2,,,PR-NCIG2Z,CM-5YHVK6,maritime.zio.zio-2
Maritime,Zio,Zio 3,,,PR-NCIG2Z,CM-45OAAE,maritime.zio.zio-3
Maritime,Zio,Zio 4,,,PR-NCIG2Z,CM-FQSC6B,maritime.zio.zio-4
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,,CM-NDR6FH,CC-TIAZPC,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive
Maritime,Agoe-Nyivé,Agoe-Nyivé 4,Togblé,,CM-GUUBLL,CC-S27XYF,maritime.agoe-nyive.agoe-nyive-4.togble
